Name,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),Other skills,"Are you available for 3 months, starting immediately, for a full-time work from home internship? ",Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10
,3,2,0,2,"Python, C++ Programming, Data Analytics, Deep Learning, Machine Learning, Robotic Process Automation (RPA), SQL, Power BI, Tableau","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech (Hons.),Computer Science & Engineering,2022,N/A,7.63/10,7.68/7.68,90.00/90.00
,2,0,0,0,"Data Science, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Technology (M.Tech),,2019,N/A,N/A,N/A,N/A
,3,2,2,2,"Data Science, Database Management System (DBMS), Python, Computer Vision, Data Analytics, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), GNU Octave, Hadoop, MS-Excel, MS-Office, Machine Learning, Natural Language Processing (NLP), Neural Networks, NoSQL, Power BI, R Programming, SQL, Tableau, OpenCV","Yes, I am available for 3 months starting immediately for a full-time internship.",Integrated M.Sc.,Data Science,2024,8.81/10,N/A,N/A,N/A
,1,1,2,1,"Artificial Intelligence, Data Structures, Java, Natural Language Processing (NLP), CSS, Deep Learning, HTML, JavaScript, Machine Learning, Python, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer  Science And Engineering,2024,N/A,8.88/10,N/A,N/A
,3,2,3,3,"Computer Vision, Data Science, Deep Learning, MS-Excel, Natural Language Processing (NLP), Power BI, Python, SQL, Amazon Web Server (AWS), Amazon Web Services (AWS), C Programming, CSS, Data Analytics, Data Structures, Database Management System (DBMS), Django, Flask, HTML, Java, JavaScript, Machine Learning, R Programming, Statistics","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,computer science,2024,N/A,N/A,91.00/91.00,N/A
,2,2,0,1,"Data Analytics, Machine Learning, Python, CSS, Deep Learning, HTML, Neural Networks","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),AIML,2024,7.23/10,N/A,76.50/76.50,74.50/74.50
,2,0,0,0,"Data Science, Python, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Computer Science & Engineering,2020,N/A,N/A,N/A,N/A
,2,2,0,0,"Data Science, Data Structures, Machine Learning, Python, Tableau, Data Analytics, Database Management System (DBMS)","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,,2025,N/A,N/A,N/A,N/A
,2,1,1,0,"CSS, Data Analytics, HTML, Python, C++ Programming, Data Science, Django, Flask, Machine Learning, Natural Language Processing (NLP), PHP, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science,2021,N/A,7.20/10,60.00/60.00,84.40/84.40
,2,3,0,3,"C++ Programming, Data Structures, Deep Learning, Machine Learning, Data Science, Database Management System (DBMS), Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Information Technology,2024,8.38/10,N/A,N/A,N/A
,2,1,0,0,"Data Analytics, Database Management System (DBMS), English Proficiency (Written), MS-Excel, Python, SQL, Statistics, Tableau, Machine Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Computer Applications (MCA),Data Science,2025,N/A,N/A,N/A,N/A
,0,0,0,0,"MS-Office, C#, C++ Programming, English Proficiency (Written), HTML, Internet of Things (IoT), JavaScript, MS-Excel, Social Media Marketing, Software Testing","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Science (B.Sc),Information Technology,2021,N/A,9.00/9,N/A,N/A
,2,1,0,0,"English Proficiency (Spoken), English Proficiency (Written), AutoCAD, C Programming, C++ Programming, MS-Excel, Python, Machine Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Metallurgical And Materials Engineering,2024,N/A,8.06/10,9.62/9.62,9.48/9.48
,2,2,2,2,"English Proficiency (Spoken), English Proficiency (Written), Accounting, Algorithms, Business Analysis, Computer Vision, Data Analytics, Data Science, Database Management System (DBMS), Deep Learning, Financial literacy, MS-Excel, MS-Office, MS-Word, Machine Learning, Natural Language Processing (NLP), Neural Networks, Power BI, Python, Research and Analytics, SQL, Tableau, Data Structures, Financial Modeling, Investing, Stock Trading, Tally","No, I am available full time but I have my exams in July which may continue for one week.",B.Tech,Electronics Engineering,2024,9.00/10,N/A,N/A,N/A
,0,0,0,0,,"Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Computer Applications (MCA),,2023,N/A,N/A,N/A,N/A
,2,1,0,0,"Data Analytics, MS-Excel, Python, Research and Analytics, SQL, Data Science, Machine Learning, Tableau","Yes, I am available for 3 months starting immediately for a full-time internship.",Integrated B.Tech & M.Tech,,2024,N/A,N/A,N/A,N/A
,2,2,0,0,"Data Analytics, Data Science, MS-Excel, Machine Learning, Python, Tableau, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.","Bachelor Of Science (B.Sc), Data Science",,2023,9.60/10,N/A,N/A,N/A
,1,1,0,0,"MS-Excel, MS-Office, Data Analytics, Image Processing, Machine Learning, Python, R Programming, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",M.Sc. in Data Science,,2023,8.22/10,7.03/10,76.80/76.80,7.70/7.70
,3,2,1,0,"Python, Machine Learning, Artificial Intelligence, Natural Language Processing (NLP), SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Technology (M.Tech),,2019,80.25/100,N/A,N/A,N/A
,2,2,1,0,"MS-Excel, Machine Learning, Power BI, Python, SQL, Tableau, Natural Language Processing (NLP)","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Technology (M.Tech),Electronics and Communication,2014,N/A,N/A,N/A,N/A
,2,2,0,0,"Data Analytics, English Proficiency (Written), Malayalam Proficiency (Spoken), Malayalam Proficiency (Written), Power BI, Computer Vision, Data Science, Data Structures, Database Management System (DBMS), English Proficiency (Spoken), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Image Processing, Java, JavaFX, MS-Excel, Machine Learning, NoSQL, Python, R Programming, SQL, Tableau, Tamil Proficiency (Spoken), French Proficiency (spoken), JavaScript","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Science (B.Sc),Data Science,2023,N/A,7.21/10,8.92/8.92,N/A
,2,1,1,0,"CSS, English Proficiency (Spoken), English Proficiency (Written), HTML, Python, WordPress, Digital Marketing, JavaScript, Machine Learning, Natural Language Processing (NLP), Search Engine Marketing (SEM), Search Engine Optimization (SEO)","Yes, I am available for 3 months starting immediately for a full-time internship.",,,0,N/A,N/A,N/A,N/A
,2,1,1,0,"C++ Programming, CSS, HTML, MySQL, Python, Android, Artificial Intelligence, JavaScript, Machine Learning, Natural Language Processing (NLP), Node.js","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2024,N/A,N/A,78.00/78.00,92.50/92.50
,2,0,0,0,"Data Science, Python, Data Structures","Yes, I am available for 3 months starting immediately for a full-time internship.",BE,Electronics and Communication,2025,N/A,N/A,N/A,N/A
,2,2,0,0,"C Programming, C++ Programming, Java, Machine Learning, Python, SQL, CSS, Data Science, HTML, JavaScript, OpenCV","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech (Hons.),CSE Hons DS&AI,2023,N/A,9.13/10,92.60/92.60,N/A
,2,2,2,0,"Data Analytics, Data Science, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, SQL, Tableau","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Computer Applications (BCA),Computer Science,2022,N/A,78.00/100,83.00/83.00,N/A
,3,3,0,0,"Machine Learning, Python, English Proficiency (Written), Power BI, SQL, Statistics, English Proficiency (Spoken), Online Teaching, Teaching","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Science (B.Sc),Physics,2020,N/A,74.00/100,N/A,N/A
,0,0,0,0,"English Proficiency (Written), MS-Word, C++ Programming, Digital Marketing, English Proficiency (Spoken), MS-Excel, MS-Office, MS-PowerPoint, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Science (B.Sc),Physics,2022,N/A,7.28/10,N/A,N/A
,2,0,0,0,"MS-Excel, MySQL, Python, Tableau, R Programming","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Science (M.Sc),Statistics,2023,N/A,N/A,N/A,N/A
,2,1,0,1,"Algorithms, Data Structures, MS-Excel, Python, Artificial Intelligence, Data Analytics, Data Science, Deep Learning, Git, GitHub, Machine Learning, MySQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science,2023,N/A,7.20/10,70.00/70.00,8.80/8.80
,2,0,0,0,"CSS, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), HTML, MS-Excel, MS-Word, Power BI, SQL, C Programming, Data Science, Java, Python, Social Media Marketing","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2023,N/A,7.55/10,9.50/9.50,9.70/9.70
,2,2,0,0,"C Programming, CSS, Data Structures, HTML, Java, Machine Learning, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Sciences &Engineering,2024,8.87/10,N/A,73.00/73.00,85.00/85.00
,1,0,0,0,"Arduino, Embedded Systems, HTML, VLSI, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Electronics and Communication,2023,N/A,9.01/10,9.69/9.69,9.70/9.70
,0,0,0,0,,"Yes, I am available for 3 months starting immediately for a full-time internship.",B.E Computer Science and Engineering (Artificial Intelligence and machine Learning),Computer Science & Engineering,2027,N/A,N/A,N/A,N/A
,2,0,0,0,"Amazon Web Server (AWS), GitHub, Java, Amazon Web Services (AWS), Cloud Computing, Google Cloud Computing, Python, SQL, Data Structures, Linux, MongoDB, Spring MVC","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2024,N/A,N/A,N/A,N/A
,2,2,2,2,"English Proficiency (Spoken), English Proficiency (Written), Product Lifecycle Management(PLM), Research and Analytics, Business Analysis, Data Science, Deep Learning, MS-Excel, MS-Office, Machine Learning, Natural Language Processing (NLP), Neural Networks, Power BI, Project Management, Python, SQL, Tableau","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,computer science,2023,N/A,N/A,N/A,N/A
,2,2,2,1,"Cloud Computing, Data Analytics, Machine Learning, Natural Language Processing (NLP), Python, Statistics, Deep Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science & Engineering,2021,N/A,N/A,N/A,N/A
,0,0,0,0,"Artificial intelligence, Amazon Web Services (AWS)","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,N/A,8.55/10,N/A,9.50/9.50
,1,2,0,1,"Machine Learning, Data Science, Deep Learning, Python, SQL, Statistics","Yes, I am available for 3 months starting immediately for a full-time internship.",Post Graduate Programme (PGP),Computational Data Science,2023,N/A,N/A,N/A,N/A
,2,1,0,1,"English Proficiency (Spoken), English Proficiency (Written), CSS, Data Analytics, MS-Excel, MS-Office, MySQL, Python, SQL, Social Media Marketing, Tableau, Creative Writing, Data Science, Deep Learning, Email Marketing, Facebook Marketing, Java, Machine Learning, Power BI, Research and Analytics, Search Engine Marketing (SEM), Search Engine Optimization (SEO)","Yes, I am available for 3 months starting immediately for a full-time internship.",,Data Analytics,2023,N/A,6.02/100,84.00/84.00,8.80/8.80
,1,0,0,0,"Apache Kafka, SQLite, Hadoop, Python, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Computer Applications (MCA),Computer Application,2022,78.98/100,62.54/100,45.38/45.38,60.20/60.20
,1,1,0,0,"Machine Learning, Python, SQL, Statistics","Yes, I am available for 3 months starting immediately for a full-time internship.",Ms In Data Science,"Python,sql",2023,8.00/8,N/A,N/A,N/A
,1,1,0,0,"C++ Programming, Machine Learning, Python, R Programming, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",,,0,N/A,N/A,60.00/60.00,77.00/77.00
,2,1,1,1,"Content Writing, English Proficiency (Written), Java, MS-PowerPoint, MS-Word, ARM Microcontroller, Arduino, C Programming, C++ Programming, Canva, Cloud Computing, Computer Vision, Data Structures, Database Management System (DBMS), Effective Communication, Embedded Systems, English Proficiency (Spoken), Google Cloud Computing, HTML, Internet of Things (IoT), MS SQL Server, MS-Excel, MS-Office, Microsoft Azure, Microsoft Visual Studio, Python, SQL, Teaching, .NET, Amazon Web Services (AWS), Atmel AVR, CSS, Circuit Design, Data Analytics, Data Science, Deep Learning, Django, Eclipse (IDE), Engineering Drawing, Flask, Flutter, Hadoop, Image Processing, MEAN/MERN Stack, Machine Learning, MongoDB, Natural Language Processing (NLP), Neural Networks, Node.js, Online Teaching, PCB Design, PLC SCADA, R Programming, REST API, Raspberry Pi, ReactJS, Robotics, SQLite, Software Testing, Swing (Java), UI & UX Design","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,N/A,N/A,N/A,N/A
,2,2,0,0,"DevOps, Machine Learning, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2023,7.78/10,N/A,66.00/66.00,78.00/78.00
,2,2,0,0,"Data Analytics, MS-Excel, Machine Learning, MySQL, Power BI, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,,2022,N/A,N/A,N/A,N/A
,2,2,0,2,"Data Analytics, Deep Learning, Machine Learning, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Mechanical Engineering,2023,N/A,N/A,N/A,N/A
,2,2,0,0,"Machine Learning, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,2024,N/A,8.41/10,N/A,N/A
,1,1,0,0,"Artificial Intelligence, Data Analytics, Data Science, Database Management System (DBMS), Machine Learning, MongoDB, Python, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),,2017,N/A,N/A,91.25/91.25,96.00/96.00
,1,2,0,1,"Machine Learning, Tableau, Data Science, Deep Learning, MS-Excel, MySQL, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Sc,,2022,N/A,N/A,N/A,N/A
,3,3,0,0,"Android, Blockchain, C Programming, C#, C++ Programming, CSS, Computer Networking, Data Analytics, Data Structures, Database Management System (DBMS), Django, Git, GitHub, HTML, Internet of Things (IoT), Java, JavaScript, Linux, Machine Learning, MySQL, Node.js, Online Teaching, PHP, Python, React Native, Ruby on Rails, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science,2025,N/A,N/A,N/A,N/A
,1,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Power BI, SQL, Tableau, AutoCAD, C Programming, MATLAB, MS-Office, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Biomedical Engineering,2023,N/A,8.89/10,N/A,N/A
,2,2,0,2,"Data Analytics, Data Science, Deep Learning, Machine Learning, Python, MySQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Science (B.Sc),computer science,2022,N/A,N/A,61.69/61.69,80.20/80.20
,2,1,0,0,"C Programming, HTML, Python, Creative Writing, Java, Machine Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Electronics and Communication,2023,7.42/10,N/A,10.00/10.00,9.50/9.50
,3,3,0,2,"Data Science, Machine Learning, Python, Artificial Intelligence, Data Analytics, Deep Learning, Firebase, Selenium","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science And Engineering (Data Science),2025,N/A,N/A,N/A,N/A
,1,0,0,0,"Eclipse (IDE), Java, Jira, Manual Testing, Selenium, Postman, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Information Technology,2014,N/A,N/A,N/A,N/A
,2,1,0,0,"Data Analytics, Python, Data Science, MS-Excel, Machine Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Science (B.Sc),computer science,2023,N/A,N/A,N/A,N/A
,2,2,2,2,"Android, Computer Vision, Data Science, Deep Learning, Firebase, Flask, Flutter, Java, Kotlin, Machine Learning, MySQL, Natural Language Processing (NLP), OpenCV, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Information Technology,2025,N/A,9.65/10,92.00/92.00,92.00/92.00
,2,2,0,2,"MS-Excel, Power BI, Computer Vision, Content Writing, Data Science, Deep Learning, Machine Learning, MySQL, Python, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Electronics Engineering,2023,N/A,7.94/10,96.70/96.70,10.00/10.00
,2,1,0,0,"C Programming, CSS, Data Structures, English Proficiency (Written), HTML, JavaScript, MS-Excel, Node.js, Python, Bootstrap, Data Science, Django, GitHub, Machine Learning, ReactJS, WordPress","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science & Engineering,2024,N/A,8.00/8,7.00/7.00,N/A
,3,2,2,2,"Computer Vision, Python, Algorithms, Amazon Web Services (AWS), C++ Programming, CSS, Data Structures, Deep Learning, Django, Git, GitHub, HTML, JavaScript, Machine Learning, MySQL, Natural Language Processing (NLP), OpenCV, ReactJS","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science & Engineering,2024,8.00/10,N/A,N/A,N/A
,3,0,0,0,"English Proficiency (Spoken), MS-Office, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",ITI Electrical Engineering,Science,2026,N/A,4.00/10,56.00/56.00,N/A
,2,0,0,0,"Python, Android, Firebase, Java, REST API","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,computer science,2021,N/A,7.58/8,N/A,N/A
